epoch,accuracy,loss,val_accuracy,val_loss
0,0.48436203598976135,1.1760984659194946,0.5763688683509827,1.0614317655563354
1,0.6565181016921997,0.8543091416358948,0.5850144028663635,1.0627962350845337
2,0.719900369644165,0.6929273009300232,0.559077799320221,1.1447373628616333
3,0.7896484732627869,0.5453841686248779,0.579250693321228,1.1287568807601929
4,0.822861909866333,0.4597352147102356,0.5648415088653564,1.2529184818267822
5,0.8627179861068726,0.38184624910354614,0.559077799320221,1.3220881223678589
6,0.8887351155281067,0.29649245738983154,0.5504322648048401,1.4305493831634521
7,0.9053418040275574,0.25967809557914734,0.5706051588058472,1.4843813180923462
8,0.9216717481613159,0.22537605464458466,0.5619596838951111,1.5495235919952393
9,0.9407694339752197,0.17894841730594635,0.5648415088653564,1.8109697103500366
10,0.9435372352600098,0.16334635019302368,0.5706051588058472,1.7012943029403687
11,0.9540547728538513,0.14337721467018127,0.579250693321228,1.8801285028457642
12,0.9532244801521301,0.13195160031318665,0.5446686148643494,2.013248920440674
13,0.9620813727378845,0.11883120983839035,0.5475504398345947,2.023679733276367
14,0.9606974720954895,0.12283696979284286,0.559077799320221,1.9447814226150513
15,0.9482424855232239,0.14255209267139435,0.5446686148643494,1.985403299331665
16,0.9579296708106995,0.12592969834804535,0.5504322648048401,2.3171303272247314
17,0.9684472680091858,0.09715093672275543,0.5504322648048401,2.123796224594116
18,0.9717686176300049,0.0775289237499237,0.5677233338356018,2.1210107803344727
19,0.975643515586853,0.07336773723363876,0.5475504398345947,2.418625831604004
20,0.9745364189147949,0.06879907846450806,0.590778112411499,2.2043333053588867
21,0.9745364189147949,0.07709606736898422,0.530259370803833,2.328305721282959
22,0.9712150692939758,0.07801441848278046,0.5273775458335876,2.4478092193603516
23,0.9678937196731567,0.09341979771852493,0.579250693321228,2.543659210205078
24,0.9656794667243958,0.09133400022983551,0.5619596838951111,2.4240410327911377
