epoch,accuracy,loss,val_accuracy,val_loss
0,0.38444507122039795,1.3200368881225586,0.48414984345436096,1.2453402280807495
1,0.6623304486274719,0.9469922184944153,0.6858789920806885,0.8658871054649353
2,0.8045945167541504,0.549996554851532,0.6916426420211792,0.7729820013046265
3,0.8580127358436584,0.388166606426239,0.7002881765365601,0.7816882133483887
4,0.8923332691192627,0.2995069622993469,0.6858789920806885,0.8628584146499634
5,0.9144755005836487,0.24631063640117645,0.6974063515663147,0.9096975922584534
6,0.9349570870399475,0.20091252028942108,0.6599423885345459,0.9829314351081848
7,0.94768887758255,0.16731315851211548,0.6455331444740295,1.086797833442688
8,0.9587600231170654,0.1416863054037094,0.6772334575653076,1.0754423141479492
9,0.9626349210739136,0.12903833389282227,0.651296854019165,1.188135027885437
10,0.9659562706947327,0.11754842847585678,0.6657060384750366,1.2304168939590454
11,0.9706615209579468,0.10136774927377701,0.6484149694442749,1.3053840398788452
12,0.9723221659660339,0.09606637805700302,0.6570605039596558,1.3118623495101929
13,0.9731525182723999,0.09192445874214172,0.6657060384750366,1.4091966152191162
14,0.974259614944458,0.08694212138652802,0.6455331444740295,1.3885130882263184
15,0.974259614944458,0.08231700956821442,0.6570605039596558,1.4596542119979858
16,0.975643515586853,0.07802540063858032,0.6570605039596558,1.5198696851730347
17,0.9778577089309692,0.07558190822601318,0.651296854019165,1.5617506504058838
18,0.975089967250824,0.07850617170333862,0.6570605039596558,1.5573019981384277
19,0.9745364189147949,0.07831522822380066,0.6484149694442749,1.568334698677063
20,0.9759202599525452,0.07063984125852585,0.6628242135047913,1.6145521402359009
21,0.975643515586853,0.07131713628768921,0.651296854019165,1.5894423723220825
22,0.9781345129013062,0.06720469892024994,0.6455331444740295,1.6360636949539185
23,0.9775809645652771,0.06411940604448318,0.6484149694442749,1.631961703300476
24,0.9778577089309692,0.068964883685112,0.639769434928894,1.6411573886871338
